"revision_date_completed","fillerblankdate","Account","Edge","StoneThickness","StoneColor","StoneType","Areas","JobName","RevisionReason","FabID","FabType","JobNumber","NumPieces","DraftNotes","DraftCompleted","creation_date","TotalSqft","SalesPerson","Revisor","FileData","RevisionType"
"9/25/2025 11:53:56 AM","","Shoberg Homes","MITERED","4","CALACATTA MANHATTAN HONED","MS","SHOWER SEAT","302 INWOOD","change light channel per attached file.","14142","1","20333","5","","-1","9/23/2025 3:43:05 PM","16.4","5","6","/20333 - SHOWER SEAT mark up.pdf","1"
"9/25/2025 11:20:34 AM","","Shoberg Homes","MITERED","5","OCEAN ELEGANCE","QZ","POOL ROOM BAR","302 INWOOD","redo layout using remnants.","14121","1","20333","9","","-1","9/23/2025 3:49:30 PM","32.9","5","6","","3"
"10/30/2025 3:25:24 PM","","Jauregui Architect Builders","2","5","ETERNAL SERENA","SS","EXTERIOR BATH","266 Club Ranch Ct - SS Et. Serena - Dog Kennel, Security, Garden Room, Ext Bath","Please use 332663","14596","1","19960","2","","-1","10/28/2025 3:22:53 PM","11.6","7","6","","2"
"10/29/2025 8:19:18 AM","","Schreiber, Sharron","flat","5","pure white","cs","vanity","Schreiber-3008 Fontana Drive","single faucet hole","14624","7","20737","1","","-1","10/28/2025 3:24:29 PM","8.59","5","6","","2"
"10/31/2025 10:55:43 AM","","Sally Lopez Design","BEVEL","5","ARABESCATO VAGLI","STRATUS QUARTZ","VANITIES","10212 Spicewood Mesa Drive","The client would like the shelf to be reduced from 2"" to 1 3/4""","14601","1","20732","6","","-1","10/29/2025 11:52:02 AM","25.95","15","6","","1"
"10/30/2025 3:47:29 PM","","Camelot Custom Homes","FLAT HONED","5","NEGRESCO HONED","GS","OUTDOOR KITCHEN","2507 Exposition","slab is really 45.25"", on layout make pc 2 run horizontally under pc 3. had some grain flow","14609","1","20733","3","","-1","10/29/2025 4:13:12 PM","28","5","6","","2"
"10/30/2025 3:31:50 PM","","RisherMartin","FLAT","5","TAJ MAHAL HONED","QZ","KITCHEN PERIMETER","3611 Ripple Creek (2025)","minor changes per Gabes temp verification 10/29","14364","1","20655","5","","-1","10/29/2025 4:52:53 PM","86.8","5","6","","1"
"10/30/2025 2:58:51 PM","","Goodman, Kim","FLAT","5","NIGHTFALL HONED","PENTAL QUARTZ","KITCHEN","Goodman- 4416 Sam Bass Road","Please add cooktop dimensions so the client can see the setback and the distance from the wall to the back of the cutout.","14613","1","20729","11","","-1","10/30/2025 8:33:58 AM","113.8","15","6","","1"
"10/30/2025 1:51:57 PM","","Braune Construction","DEMI BULLNOSE","5","GADWALL-HAND SELECT","GS","KITCHEN PERIMETER/PENINSULA/MASTER BA/HALF BA/ISLAND","1716 CR 930","check vessel sink specs and see email sent for correction","14588","1","20715","13","🐸🐸🐸MEASURE SINK IN OFFICE FOR THIS ONE","-1","10/30/2025 9:11:10 AM","88.1","6","6","/orson.png","2"
"10/31/2025 4:06:40 PM","","ALPHA GRANITE SHOWROOM","FLAT POLISH","4","NORDIC WHITE ONYX ITEMS","ONYX","NORDIC WHITE ONYX ITEMS","2025 SHOWROOM ITEMS","Please change this to 2 cutting boards instead of 1 cutting board and 1 lazy susan","14527","2","20337","2","","-1","10/30/2025 10:28:23 AM","3.2","7","15","","1"
"10/31/2025 1:55:02 PM","","ALPHA GRANITE SHOWROOM","FLAT HONED","4","CALACATTA MONET","MS","CALACATTA MONET ITEMS","2025 SHOWROOM ITEMS","Will 2 more boards fit on slab ID 333904? If so, please add them.","14525","2","20337","4","","-1","10/30/2025 10:31:43 AM","6.3","7","15","","3"
"11/10/2025 8:26:15 AM","","Vitek McIver Homes","FLAT HONED","5","PETRA ESTREMOZ","STRATUS TERRAZZO","DOWNSTAIRS LAUNDRY, UPSTAIRS LAUNDRY","345 PECAN GROVE DRIVE","Needs slabsmith once slabs are photoed","14107","1","20408","8","","-1","10/30/2025 12:14:34 PM","68.8","7","12","","1"
"12/17/2025 3:42:55 PM","","Mae Levitan","miter/flat","5","ijen blue leathered","QZ","POWDER VANITY W/ INTEGRATED SINK","Levitan-4308 Deepwoods Drive","please revise so sink basin is as large as possible with moved metal brackets. please change and update slabsmith as well.","14682","1","20449","12","","-1","12/11/2025 9:49:17 AM","12","9","6","/DEEPWOODS metal.jpg","1"
"12/17/2025 3:41:22 PM","","FSB Custom Homes, LLC","FLAT HONED","5","CALACATTA GOLD HONED","MS","KITCHEN PERIMETER WINDOW WALL RANGE PIECE","3602 Murillo Circle","Draw piece at 48 1/8"" x 7 1/2"" - installers will need to trim to fit on site","14537","1","19918","","","-1","12/11/2025 9:57:09 AM","1","7","6","","2"
"12/19/2025 1:23:40 PM","","Tschida, Joe","FLAT HONED","5","SARATOGA HONED","SOAPSTONE","KITCHEN PERIMETER, BATHROOM VANITY","Tschida-7605 Crossmeadow Drive","SEE ATTACHED: CHANGE DIMS TO STRIKEDOUT DIMS, DELETE / REMOVE SCRIBING, REMOVE SALES NOTE 2 AND 4, CHANGE SALES NOTE 5. TO ""KRAUS BROUGHT TO AG ON 12/12/25"", DIMENSION SPACE BEHIND SINK CUTOUT IN KITCHEN","14754","1","20774","4","","-1","12/12/2025 9:26:30 AM","48.4","9","6","/7605 Crossmeadow Drive REDLINE.pdf","1"
"12/17/2025 1:34:57 PM","","Rauser Construction","FLAT HONED","4","HONED VIOLEG 1974","TERRAZZO","BATH 1 SHOWER JAMBS, WALL CAP, WALL CAP FRONT, CURB","3805 Balcones Drive","revise joint locations on pc made up of pcs 7","14217","1","20455","8","""revise joint locations on pc made up of pcs 7 & 8. Use longer remnant piece so that seam can be closest to the top of the jamb as possible. ""","-1","12/12/2025 2:47:39 PM","6.5","5","6","","1"
"12/15/2025 1:58:46 PM","","FSB Custom Homes, LLC","COVE DUPONT HONED","5","CALACATTA GOLD HONED","MS","CUSTOMER REDO : KITCHEN ISLAND PCS 1","3602 Murillo Circle","Please dimension the locations of the pop up outlets","14599","4","19918","1","","-1","12/15/2025 11:52:56 AM","39.6","7","15","","3"
"12/17/2025 10:33:16 AM","","R Builders","FLAT","5","ETHEREAL","STRATUS QUARTZ","KITCHEN ISLAND, KITCHEN PERIMETER","2904 Hatley Drive","please add downdraft cutout with notes to cut this and the cooktop on site.","14656","1","20746","4","","-1","12/15/2025 12:22:35 PM","91.9","9","6","","2"
"12/15/2025 2:35:49 PM","","FSB Custom Homes, LLC","","","","","BATH 1, LYNN","258 West Ranch Road","Lynn's Bath vanity needs a 6"" backsplash on the back only, and remove the scribe. What will the gaps be if scribing is removed on Bath 1 vanity?","14676","1","20482","3","","-1","12/15/2025 1:08:35 PM","24.3","","15","","1"
"12/18/2025 11:55:14 AM","","FSB Custom Homes, LLC","COVE DUPONT HONED","5","CALACATTA GOLD HONED","MS","CUSTOMER REDO : KITCHEN ISLAND PCS 1","3602 Murillo Circle","Outlets to be 22"" from both sides.Change overall width of island from 95-3/16"" to 95-1/4"".","14599","4","19918","1","","-1","12/15/2025 3:48:13 PM","39.6","7","6","","1"
"12/17/2025 10:24:43 AM","","Lipscomb, David","FLAT","5","MIAMI WHITE","SS","MASTER AND GUEST BA","Lipscomb-909 Lake Drive","see email please-for changes per h/o","14591","1","20723","8","","-1","12/15/2025 3:50:30 PM","31.8","6","6","","1"
"12/18/2025 1:29:13 PM","","Burniston, Kathryn","2","5","BRAZILLIAN THASSOS","MARBLE","MASTER BATH","BURNISTON - 2983 BANDERA HWY","PLEASE MOVE PIECES TO THE MORE PATTERNED AREA-CONFIRM RED AREAS CAN BE RESURFACED","14774","1","20742","2","","-1","12/15/2025 5:12:06 PM","32.8","6","6","","2"
"12/17/2025 4:32:30 PM","","Shoberg Homes","MITERED","5","OCEAN ELEGANCE","QZ","POOL ROOM BAR","302 INWOOD","Change per discussion with Denis and Gabe","14121","1","20333","9","","-1","12/15/2025 5:28:20 PM","32.9","5","15","","3"
"12/19/2025 10:54:22 AM","","Grayson Rosato","FLAT HONED","5","cloudburst concrete","CS","KITCHEN PERIMETER W/ SPLASH, WET BAR","Rosato-1903 West 40th Street","change bar sink to new sink listed in MW (Nantucket Sinks Fireclay Bar Sink 9.25""x18.25); add glass rinser and airswitch at bar and airswitch at kitchen. files are uploaded for placement in MW","14786","8","20783","8","","-1","12/16/2025 2:31:18 PM","57.5","9","6","/BAR and kitchen ORIENTATION drawings in mw.jpg","1"
"12/18/2025 1:01:01 PM","","Shoberg Homes","","","","","EMILY","302 INWOOD","Change edge back to 3cm Flat Edge per client","14116","1","20333","1","","-1","12/16/2025 3:08:37 PM","12.9","","6","","1"
"12/31/2025 8:14:20 AM","","Waller Building Company, LLC","FLAT","5","TAJ MAHAL","QZ","KITCHEN ISLAND, KITCHEN PERIMETER, SINK SIDE FHBSP W LEDGE","7703 LONG POINT DRIVE","please revise full height backsplash on sink side wall- add side splash with detail to match range side splash. see MW for more photos","13617","1","20417","11","No longer needed","-1","12/17/2025 12:48:12 PM","107.3","9","6","/side splash in kitchen.pdf","1"
"1/20/2026 10:24:17 AM","","CCR Garage","FLAT","4","ABSOLUTE BLACK","GS","kitchen/ba 1/ba2/powder/laundry","8708 Hwy 83","block and the layout need to show material to be leathered, please TYVM","14895","7","20728","7","","-1","1/20/2026 9:23:56 AM","89.4","6","6","","2"
"1/20/2026 12:47:35 PM","","Camelot Custom Homes","4 3/4","5","BIANCO CARRARA","MS","PRIMARY VANITY","2507 EXPOSITION","Splash detail wrong. 3cm cap is labeled the wrong thickness so it makes the height of the backslash wrong. Add note to cut 2 standard outlets on pcs 4","14741","1","20733","9","Splash detail wrong. 3cm cap is labeled the wrong thickness so it makes the height of the backslash wrong. Add note to cut 2 standard outlets on pcs 4 & 6 on site.","-1","1/20/2026 10:27:13 AM","30.1","5","6","","3"
"1/20/2026 2:21:47 PM","","Vitek McIver Homes","2 1/2","3","MARMORIO","DK","ODK SINK AREA","2517 Hartford Road","Please revise the overhang to be 1-3/4""","14652","1","20563","7","","-1","1/20/2026 11:27:45 AM","37.5","7","6","","1"
"1/20/2026 4:37:40 PM","","Ana Navarro Ovitt","FLAT HONED","5","BLACK HONED","SOAPSTONE","FIREPLACE FACE","Ovitt-7605 Long Point Drive","remove note about milling, client will have all 3cm everywhere","14824","1","20520","4","","-1","1/20/2026 3:01:17 PM","12","9","6","","1"
"1/23/2026 9:41:42 AM","","Beacon Construction","","","","","WOMEN","464 Boca Chica Street","change the material name to ""SS Ethereal Noctis Suede""","14923","1","20711","2","","-1","1/21/2026 11:38:23 AM","33.7","","12","","2"
"1/25/2026 7:47:39 AM","","Taylor, Billy and Rhonda","1  3/8","2","AWAKE"," DEKTON","KITCHEN","Taylor-621 Rock Creek Loop","please see attached -review joints and mitered edge for better match","14915","1","20821","7","","-1","1/21/2026 12:06:07 PM","57.5","6","12","/joint 1 .jpg","2"
"2/1/2026 4:47:13 PM","","Jauregui Architect Builders","FLAT POLISH","5","TIFFANY EMERALD","QZ","FAMILY ROOM FIREPLACE","266 Club Ranch Ct - Tiffany Emerald - Family Room Fireplace","Please revise drawing to reflect seam locations on attached elevation","14785","1","19958","16","","-1","1/21/2026 2:28:56 PM","244.3","7","12","/FRFP layout.png","2"
"2/6/2026 10:46:43 AM","","Jauregui Architect Builders","FLAT POLISH","4","ATHOS WHITE","MS","BATH 4 WALL BELOW VANITY","266 Club Ranch Ct - Athos White - Bath 3/4/5/Pool Bath Vanities/Walls/Ceilings","Remove shower back wall from the drawing","13639","1","19950","91","🤚 HOLD MRK 1/23/26, I SENT AN EMAIL ABOUT THIS AREA THAT NEEDS REVISION IS NOT DRAFTED","-1","1/21/2026 2:47:05 PM","13.2","7","12","","2"
"1/25/2026 10:50:54 AM","","BuildCo","FLAT","5","AURORA","OPAL QUARTZ","KITCHEN","4009 North Hills Drive","see Gabe's new template file from 1/21","14890","1","20793","","","-1","1/21/2026 4:23:38 PM","106.5","5","12","","4"
"3/11/2026 4:01:53 PM","","Stewart and Company","","","","","BATH 3 (PIPPA LOU","2700 Island Ledge Cv","Move the piece to a corner of the slab even if it doesn't have any veins. We have to save as much material as possible for future phases.","15089","2","20585","","","-1","3/11/2026 2:45:34 PM","1","","15","","3"
"3/12/2026 9:25:48 AM","","Texas Construction Company","","","","","SANDI","907 Terrace Mountain Drive","Reduce depth of all countertops by 1/8""","14273","1","20562","3","","-1","3/12/2026 7:17:56 AM","29.4","","15","","1"
"3/12/2026 9:42:17 AM","","Texas Construction Company","FLAT HONED","5","ABSOLUTE BLACK LEATHERED","GS","BAR (ALSO CALLED KITCHEN BAR)","907 Terrace Mountain Drive","Reduce countertop depth to 29 7/16""","14280","1","20562","1","","-1","3/12/2026 7:18:18 AM","13.1","7","15","","1"
"3/12/2026 1:30:55 PM","","Spitz, Gabriel","FLAT POLISH","5","CALACATTA GOLD (USE POLISHED SIDE OF SLABS)","MS","KITCHEN PERIMETER AND COFFEE BAR COUNTERTOPS","Spitz-1200 Hawks Canyon Circle","Add backsplash to drawing and layout","14970","1","20786","3","","-1","3/12/2026 7:49:48 AM","35.9","7","15","","1"
"3/16/2026 1:58:35 PM","","Spitz, Gabriel","FLAT POLISH","5","CALACATTA GOLD (USE POLISHED SIDE OF SLABS)","MS","KITCHEN PERIMETER AND COFFEE BAR COUNTERTOPS","Spitz-1200 Hawks Canyon Circle","The backsplash will require joints (CM templated this and they don't add the joint locations)","14970","1","20786","3","","-1","3/12/2026 1:32:04 PM","35.9","7","15","","2"
"3/13/2026 9:09:27 AM","","Enabler LLC","1 1/2","4","WHITE","QUARTZ","VANITY","Enabler - 1117 Salina St.","Change layout per discussion b/t Tracy","15096","8","20886","","","-1","3/12/2026 2:45:27 PM","8","5","15","","3"
"3/13/2026 9:18:37 AM","","Patten, Elaine","FLAT","5","SKY WHITE HONED","MS","VANITY","Patten-4010 Long Champ Drive 21","Please remove the note that mentions the faucet. Faucet info has been added to MW since 3/4","15027","7","20862","","","-1","3/12/2026 5:08:00 PM","15.6","15","15","","3"
"3/16/2026 2:12:36 PM","","Meridian Custom Homes","FLAT","5","MIAMI WHITE","SS","UTILITY - LOWER AND UPPER COUNTERTOPS","4907 Strass Drive","reduce right side overhang to be 3/4"" so it matches front overhang","15068","1","20876","2","","-1","3/13/2026 12:07:46 PM","26.6","5","15","","1"
"3/17/2026 9:17:08 AM","","Kelly, Susie","FLAT","5","CHARCOAL SOAPSTONE SUEDE","SS","KITCHEN","Kelly-2402 Sutherland Street","Please remove the embedded metal and notes from the drawing. Per Denis.","15108","1","20887","3","","-1","3/16/2026 9:04:19 AM","56.5","15","12","","2"
"3/17/2026 9:35:13 AM","","ALEXANDRA AUTHIER","FLAT HONED","5","BIANCO CARRARA HONED","MS","BATHROOM VANITY","Authier-3505 West Avenue","change to mill splash to 5/8"", move faucet and sink forward by 1/4"", match radius on splash close to clients sketch","14703","1","20755","","ERICK DWG","-1","3/16/2026 10:00:32 AM","9","9","15","/alex authier.png","1"
"3/17/2026 2:53:17 PM","","Texas Construction Company","1 1/2","3","STRIATA","CAESARSTONE PORCELAIN","PRIMARY HIS VANITY","907 Terrace Mountain Drive","Revise per 3/13 retemplate","14949","1","20562","","MARKOS DWG","-1","3/16/2026 11:01:01 AM","17","7","15","","2"
"3/17/2026 9:35:54 AM","","R Builders","SMALL OGEE","5","BIRCHWOOD","METROQUARTZ","UTILITY/LAUNDRY","9121 CAMELBACK DR","REMOVE PC 2 OF 5","13463","1","19968","5","MARKOS DWG","-1","3/16/2026 4:02:51 PM","69.3","9","","","2"
"3/17/2026 10:34:13 AM","","R Builders","CUSTOM","5","calacatta michelangelo","QZ","GUEST BATH 2 (BENCH TOP- VANITY)","9121 Camelback Dr","CHANGE 40"" DIMENSION TO 37"" ; CHANGE EDGE ON SHOWER BENCH (PC 9 OF 9) TO 1/2 BULLNOSE, NOTE FOR INSTALL TO ALIGN SPLASH WITH START OF SMALL OGEE","12061","1","19968","9","JOSHUA DWG - SORRY HIT ENTER BEFORE IT WAS READY- CHANGE 40"" DIMENSION TO 37"" ON PC 8 OF 9!!!!","-1","3/16/2026 4:05:07 PM","29","9","15","","1"
"3/18/2026 10:00:38 AM","","R Builders","DUPONT","5","Calacatta MICHELANGELO","MS","THEATRE POWDER (POWDER 2)","9121 Camelback Dr","REDUCE PC 2 OF 2 BY DIMENSION OF DUPONT (SEE HERE FOR REFERENCE) ONLY DO THIS FOR OPEN END, WALL SIDE REMAINS THE SAME","12064","1","19968","","MARKOS DWG","-1","3/16/2026 4:09:47 PM","6.81","9","12","/Alpha-Granite-65.jpg","2"
"5/12/2026 4:31:05 PM","","R Builders","SMALL OGEE honed","5","MYKONOS ag to hone","QZ","ODK W/ PASS THRU, POOL BUFFET","9121 Camelback Dr","REMOVE HOLES FOR FAUCET AND AIR SWITCH, ADD INSTALL NOTE TO DRILL FAUCET AND AIR SWITCH ON SITE. CHANGE TO MITERED SEAMS AT CORNERS","13121","1","19968","","MB 5/6- CUSTOMER APPROVED BUTTERFLY JOINTS PLEASE PROCEED! WAITING FOR CUSTOMER TO APPROVE BUTTERFLY JOINTS","-1","3/16/2026 4:11:10 PM","122.5","9","15","","1"
"3/18/2026 8:29:17 AM","","Oliver, Clara","FLAT HONED","4","CLOUDBURST CONCRETE","CS","VANITY","Oliver-6409 Farmdale Lane (2026)","remove outlet cut from drawing","15038","1","20851","3","MARKOS- Also add note to cut outlet on site","-1","3/17/2026 9:31:04 AM","19.7","5","12","","1"
