Table Name,Column Name,Data Type,Is Nullable,Default Value
cnc_drafting_sessions,created_at,timestamp without time zone,NO,
cnc_drafting_sessions,updated_at,timestamp without time zone,YES,
cnc_draftings,id,integer,NO,nextval('cnc_draftings_id_seq'::regclass)
cnc_draftings,drafter_id,integer,NO,
cnc_draftings,fab_id,integer,NO,
cnc_draftings,scheduled_start_date,timestamp without time zone,NO,
cnc_draftings,scheduled_end_date,timestamp without time zone,NO,
cnc_draftings,drafter_start_date,timestamp without time zone,YES,
cnc_draftings,drafter_end_date,timestamp without time zone,YES,
cnc_draftings,status_id,integer,NO,
cnc_draftings,total_sqft,double precision,YES,
cnc_draftings,no_of_pieces,integer,YES,
cnc_draftings,cad_review_complete,boolean,YES,
cnc_draftings,draft_completed,boolean,YES,
cnc_draftings,notes,character varying,YES,
cnc_draftings,current_stage,character varying,YES,
cnc_draftings,total_sqft_required_to_draft,character varying,NO,
cnc_draftings,total_sqft_drafted,double precision,YES,
cnc_draftings,no_of_piece_drafted,integer,YES,
cnc_draftings,draft_note,character varying,YES,
cnc_draftings,mentions,character varying,YES,
cnc_draftings,total_hours_drafted,double precision,YES,
cnc_draftings,is_completed,boolean,NO,
cnc_draftings,file_ids,character varying,YES,
cnc_draftings,created_at,timestamp without time zone,NO,
cnc_draftings,updated_at,timestamp without time zone,YES,
cnc_draftings,updated_by,integer,YES,
cost_of_stones,id,integer,NO,nextval('cost_of_stones_id_seq'::regclass)
cost_of_stones,fab_id,integer,NO,
cost_of_stones,stone_color_id,integer,YES,
cost_of_stones,stone_type_id,integer,YES,
cost_of_stones,total_sqft,character varying,YES,
cost_of_stones,cost_per_sqft,character varying,YES,
cost_of_stones,total_cost,character varying,YES,
cost_of_stones,waste_percentage,character varying,YES,
cost_of_stones,calculated_by,integer,YES,
cost_of_stones,is_completed,boolean,NO,
cost_of_stones,status_id,integer,NO,
cost_of_stones,created_at,timestamp without time zone,NO,
cost_of_stones,updated_at,timestamp without time zone,YES,
cost_of_stones,updated_by,integer,YES,
cost_of_stones,notes,jsonb,YES,
cut_list,id,integer,NO,nextval('cut_list_id_seq'::regclass)
cut_list,fab_id,integer,NO,
cut_list,is_final_progreamming_completed,boolean,NO,
cut_list,is_completed,boolean,NO,
cut_list,shop_schedule_date,timestamp without time zone,YES,
cut_list,status_id,integer,NO,
cut_list,created_at,timestamp without time zone,NO,
cut_list,updated_at,timestamp without time zone,YES,
cut_list,updated_by,integer,YES,
cut_list,no_of_piece,character varying,YES,
cut_list,total_sqft,character varying,YES,
cut_list,installation_date,timestamp without time zone,YES,
cut_list,Ln_ft_map,character varying,YES,
departments,id,integer,NO,nextval('departments_id_seq'::regclass)
departments,name,character varying,NO,
departments,description,character varying,YES,
departments,created_at,timestamp without time zone,NO,
departments,updated_at,timestamp without time zone,NO,
departments,status,integer,NO,
drafting_session_notes,id,integer,NO,nextval('drafting_session_notes_id_seq'::regclass)
drafting_session_notes,session_id,integer,NO,
drafting_session_notes,fab_id,integer,NO,
drafting_session_notes,action,character varying,NO,
drafting_session_notes,timestamp,timestamp without time zone,NO,
drafting_session_notes,note,character varying,YES,
drafting_session_notes,sqft_drafted,character varying,YES,
drafting_session_notes,work_percentage_done,integer,YES,
drafting_session_notes,created_at,timestamp without time zone,NO,
drafting_sessions,id,integer,NO,nextval('drafting_sessions_id_seq'::regclass)
drafting_sessions,fab_id,integer,NO,
drafting_sessions,drafter_id,integer,NO,
drafting_sessions,status,character varying,NO,
drafting_sessions,session_start_time,timestamp without time zone,NO,
drafting_sessions,session_end_time,timestamp without time zone,YES,
drafting_sessions,current_pause_start_time,timestamp without time zone,YES,
drafting_sessions,total_pause_duration,integer,NO,
drafting_sessions,total_time_spent,integer,NO,
drafting_sessions,cumulative_sqft_drafted,character varying,YES,
drafting_sessions,work_percentage_done,integer,NO,
drafting_sessions,created_at,timestamp without time zone,NO,
drafting_sessions,updated_at,timestamp without time zone,YES,
draftings,id,integer,NO,nextval('draftings_id_seq'::regclass)
draftings,drafter_id,integer,NO,
draftings,fab_id,integer,NO,
draftings,scheduled_start_date,timestamp without time zone,NO,
draftings,scheduled_end_date,timestamp without time zone,NO,
draftings,drafter_start_date,timestamp without time zone,YES,
draftings,drafter_end_date,timestamp without time zone,YES,
draftings,status_id,integer,NO,
draftings,created_at,timestamp without time zone,NO,
draftings,updated_at,timestamp without time zone,YES,
draftings,updated_by,integer,YES,
draftings,file_ids,character varying,YES,
draftings,no_of_piece_drafted,integer,YES,
draftings,total_sqft_required_to_draft,character varying,NO,
draftings,total_sqft_drafted,double precision,YES,
draftings,draft_note,character varying,YES,
draftings,mentions,character varying,YES,
draftings,total_hours_drafted,double precision,YES,
draftings,is_redrafting,boolean,NO,
draftings,is_completed,boolean,NO,
edges,id,integer,NO,nextval('edges_id_seq'::regclass)
edges,name,character varying,NO,
edges,edge_type,character varying,NO,
edges,description,character varying,YES,
edges,status_id,integer,NO,
edges,created_at,timestamp without time zone,NO,
edges,created_by,integer,NO,
edges,updated_at,timestamp without time zone,YES,
edges,updated_by,integer,YES,
fab_notes,id,integer,NO,nextval('fab_notes_id_seq'::regclass)
fab_notes,fab_id,integer,NO,
fab_notes,stage,character varying,NO,
fab_notes,note,text,YES,
fab_notes,created_by,integer,NO,
fab_notes,created_at,timestamp without time zone,NO,
fab_notes,updated_at,timestamp without time zone,YES,
fab_notes,updated_by,integer,YES,
fab_type,name,character varying,NO,
fab_type,description,character varying,YES,
fab_type,id,integer,NO,nextval('fab_type_id_seq'::regclass)
fab_type,created_at,timestamp without time zone,YES,now()
fab_type,updated_at,timestamp without time zone,YES,
fabs,id,integer,NO,nextval('fabs_id_seq'::regclass)
fabs,job_id,integer,NO,
fabs,fab_type,character varying,NO,
fabs,sales_person_id,integer,NO,
fabs,stone_type_id,integer,NO,
fabs,stone_color_id,integer,NO,
fabs,stone_thickness_id,integer,NO,
fabs,edge_id,integer,NO,
fabs,input_area,character varying,YES,
fabs,total_sqft,double precision,NO,
fabs,notes,jsonb,YES,
fabs,cost_of_stone,double precision,YES,
fabs,redo_total_sqft,double precision,YES,
fabs,redo_department,integer,YES,
fabs,cost_per_sqft,double precision,YES,
fabs,redo_requested_by,integer,YES,
fabs,template_needed,boolean,NO,
fabs,drafting_needed,boolean,NO,
fabs,slab_smith_cust_needed,boolean,NO,
fabs,slab_smith_ag_needed,boolean,NO,
fabs,sct_needed,boolean,NO,
fabs,final_programming_needed,boolean,NO,
fabs,slabsmith_time_minutes,integer,YES,
fabs,drafter_id,integer,YES,
fabs,drafter_assigned_by,integer,YES,
fabs,drafter_assigned_at,timestamp without time zone,YES,
fabs,template_received,boolean,NO,
fabs,template_review_complete,boolean,NO,
fabs,draft_completed,boolean,NO,
fabs,cad_review_complete,boolean,NO,
fabs,no_of_pieces,integer,YES,
fabs,revenue,double precision,YES,
fabs,gp,double precision,YES,
fabs,sct_completed,boolean,NO,
fabs,revised,boolean,NO,
fabs,shop_date_schedule,timestamp without time zone,YES,
fabs,final_programming_complete,boolean,NO,
fabs,cutlist_complete,boolean,YES,
fabs,final_programming_completed_date,timestamp without time zone,YES,
fabs,slab_smith_used,boolean,NO,
fabs,fp_not_needed,boolean,NO,
fabs,confirmed_date,timestamp without time zone,YES,
fabs,wj_time_minutes,integer,YES,
fabs,wj_linft,double precision,YES,
fabs,edging_linft,double precision,YES,
fabs,cnc_linft,double precision,YES,
fabs,miter_linft,double precision,YES,
fabs,saw_miter_lnft,double precision,YES,
fabs,wj_miter_lnft,double precision,YES,
fabs,installation_date,timestamp without time zone,YES,
fabs,saw_cut_lnft,double precision,YES,
fabs,current_stage,character varying,YES,
fabs,next_stage,character varying,YES,
fabs,status_id,integer,NO,
fabs,created_at,timestamp without time zone,NO,
fabs,created_by,integer,NO,
fabs,updated_at,timestamp without time zone,YES,
fabs,updated_by,integer,YES,
fabs,cost_of_stone_id,integer,YES,
fabs,slabsmith_completed_date,timestamp without time zone,YES,
fabs,sales_ct_completed_date,timestamp without time zone,YES,
fabs,template_completed_date,timestamp without time zone,YES,
fabs,predraft_completed_date,timestamp without time zone,YES,
fabs,draft_completed_date,timestamp without time zone,YES,
fabs,revision_completed_date,timestamp without time zone,YES,
fabs,sct_completed_date,timestamp without time zone,YES,
fabs,slab_smith_approved,boolean,YES,
fabs,block_drawing_approved,boolean,YES,
fabs,shop_est_completion_date,timestamp without time zone,YES,
files,id,integer,NO,nextval('files_id_seq'::regclass)
files,name,character varying,NO,
files,file_path,character varying,NO,
files,file_type,character varying,NO,
files,created_at,timestamp without time zone,NO,
files,updated_at,timestamp without time zone,NO,
files,file_size,character varying,NO,
files,job_id,integer,YES,
files,fab_id,integer,YES,
files,task_id,integer,YES,
files,uploaded_by,integer,YES,
files,stage,character varying,YES,
files,file_design,character varying,YES,
files,stage_name,character varying,YES,
final_programming_session_notes,id,integer,NO,nextval('final_programming_session_notes_id_seq'::regclass)
final_programming_session_notes,session_id,integer,NO,
final_programming_session_notes,fab_id,integer,NO,
final_programming_session_notes,user_id,integer,NO,
final_programming_session_notes,action,character varying,NO,
final_programming_session_notes,timestamp,timestamp without time zone,NO,
final_programming_session_notes,note,character varying,YES,
final_programming_session_notes,sqft_completed,double precision,YES,
final_programming_session_notes,work_percentage_done,double precision,YES,
final_programming_session_notes,created_at,timestamp without time zone,NO,
final_programming_sessions,id,integer,NO,nextval('final_programming_sessions_id_seq'::regclass)
final_programming_sessions,fab_id,integer,NO,
final_programming_sessions,user_id,integer,NO,
final_programming_sessions,status,character varying,NO,
final_programming_sessions,session_start_time,timestamp without time zone,NO,
final_programming_sessions,session_end_time,timestamp without time zone,YES,
final_programming_sessions,current_pause_start_time,timestamp without time zone,YES,
final_programming_sessions,total_pause_duration,integer,NO,
final_programming_sessions,total_time_spent,integer,NO,
final_programming_sessions,created_at,timestamp without time zone,NO,
final_programming_sessions,updated_at,timestamp without time zone,YES,
final_programmings,id,integer,NO,nextval('final_programmings_id_seq'::regclass)
final_programmings,drafter_id,integer,NO,
final_programmings,fab_id,integer,NO,
final_programmings,scheduled_start_date,timestamp without time zone,NO,
final_programmings,scheduled_end_date,timestamp without time zone,NO,
final_programmings,drafter_start_date,timestamp without time zone,YES,
final_programmings,drafter_end_date,timestamp without time zone,YES,
final_programmings,is_completed,boolean,NO,
final_programmings,status_id,integer,NO,
final_programmings,created_at,timestamp without time zone,NO,
final_programmings,updated_at,timestamp without time zone,YES,
final_programmings,updated_by,integer,YES,
final_programmings,file_ids,character varying,YES,
final_programmings,no_of_piece_drafted,character varying,YES,
final_programmings,total_sqft_required_to_draft,character varying,NO,
final_programmings,total_sqft_drafted,character varying,YES,
final_programmings,notes,jsonb,YES,
hcp_payroll_ingestion_runs,id,integer,NO,nextval('hcp_payroll_ingestion_runs_id_seq'::regclass)
hcp_payroll_ingestion_runs,source_config_id,integer,NO,
hcp_payroll_ingestion_runs,status,character varying,NO,
hcp_payroll_ingestion_runs,token_request_url,character varying,YES,
hcp_payroll_ingestion_runs,token_response_json,jsonb,YES,
hcp_payroll_ingestion_runs,token_acquired_at,timestamp without time zone,YES,
hcp_payroll_ingestion_runs,token_expires_in,integer,YES,
hcp_payroll_ingestion_runs,report_request_url,character varying,YES,
hcp_payroll_ingestion_runs,report_http_status,integer,YES,
hcp_payroll_ingestion_runs,report_content_type,character varying,YES,
hcp_payroll_ingestion_runs,error_message,character varying,YES,
hcp_payroll_ingestion_runs,row_count,integer,NO,
hcp_payroll_ingestion_runs,created_at,timestamp without time zone,NO,
hcp_payroll_ingestion_runs,started_at,timestamp without time zone,NO,
hcp_payroll_ingestion_runs,finished_at,timestamp without time zone,YES,
hcp_payroll_ingestion_runs,created_by,integer,YES,
hcp_payroll_report_rows,id,integer,NO,nextval('hcp_payroll_report_rows_id_seq'::regclass)
hcp_payroll_report_rows,snapshot_id,integer,NO,
hcp_payroll_report_rows,source_config_id,integer,NO,
hcp_payroll_report_rows,ingestion_run_id,integer,NO,
hcp_payroll_report_rows,row_kind,character varying,NO,
hcp_payroll_report_rows,row_index,integer,NO,
hcp_payroll_report_rows,cost_center_name,character varying,YES,
hcp_payroll_report_rows,employee_first_name,character varying,YES,
hcp_payroll_report_rows,employee_last_name,character varying,YES,
hcp_payroll_report_rows,hourly_pay,double precision,YES,
hcp_payroll_report_rows,regular_hours,double precision,YES,
hcp_payroll_report_rows,holiday_hours,double precision,YES,
hcp_payroll_report_rows,pto_hours,double precision,YES,
hcp_payroll_report_rows,total_reg_pto_hol_wages,double precision,YES,
hcp_payroll_report_rows,overtime_hours,double precision,YES,
hcp_payroll_report_rows,total_ot_wages,double precision,YES,
hcp_payroll_report_rows,raw_line_text,character varying,YES,
hcp_payroll_report_rows,created_at,timestamp without time zone,NO,
hcp_payroll_report_snapshots,id,integer,NO,nextval('hcp_payroll_report_snapshots_id_seq'::regclass)
hcp_payroll_report_snapshots,source_config_id,integer,NO,
hcp_payroll_report_snapshots,ingestion_run_id,integer,NO,
hcp_payroll_report_snapshots,report_settings_id,character varying,NO,
hcp_payroll_report_snapshots,report_title,character varying,YES,
hcp_payroll_report_snapshots,payload_format,character varying,NO,
hcp_payroll_report_snapshots,raw_payload_text,character varying,NO,
hcp_payroll_report_snapshots,row_count,integer,NO,
hcp_payroll_report_snapshots,created_at,timestamp without time zone,NO,
hcp_payroll_source_configs,id,integer,NO,nextval('hcp_payroll_source_configs_id_seq'::regclass)
hcp_payroll_source_configs,name,character varying,NO,
hcp_payroll_source_configs,base_url,character varying,NO,
hcp_payroll_source_configs,company_id,character varying,NO,
hcp_payroll_source_configs,grant_type,character varying,NO,
hcp_payroll_source_configs,client_id,character varying,YES,
hcp_payroll_source_configs,client_secret,character varying,YES,
hcp_payroll_source_configs,report_settings_id,character varying,NO,
hcp_payroll_source_configs,schedule_type,character varying,NO,
hcp_payroll_source_configs,schedule_interval,integer,NO,
hcp_payroll_source_configs,schedule_weekday,integer,NO,
hcp_payroll_source_configs,schedule_hour,integer,NO,
hcp_payroll_source_configs,schedule_minute,integer,NO,
hcp_payroll_source_configs,is_active,boolean,NO,
hcp_payroll_source_configs,created_at,timestamp without time zone,NO,
hcp_payroll_source_configs,updated_at,timestamp without time zone,YES,
hcp_payroll_source_configs,created_by,integer,YES,
hcp_payroll_source_configs,updated_by,integer,YES,
install_completions,id,integer,NO,nextval('install_completions_id_seq'::regclass)
install_completions,fab_id,integer,NO,
install_completions,installer_id,integer,NO,
install_completions,install_date,timestamp without time zone,NO,
install_completions,completion_date,timestamp without time zone,YES,
install_completions,total_sqft_installed,character varying,YES,
install_completions,customer_signature,character varying,YES,
install_completions,completion_notes,character varying,YES,
install_completions,is_completed,boolean,NO,
install_completions,is_confirmed,boolean,NO,
install_completions,status_id,integer,NO,
install_completions,created_at,timestamp without time zone,NO,
install_completions,updated_at,timestamp without time zone,YES,
install_completions,updated_by,integer,YES,
install_completions,file_ids,character varying,YES,
install_schedulings,id,integer,NO,nextval('install_schedulings_id_seq'::regclass)
install_schedulings,fab_id,integer,NO,
install_schedulings,installer_id,integer,YES,
install_schedulings,extra_crew_1_id,integer,YES,
install_schedulings,extra_crew_2_id,integer,YES,
install_schedulings,extra_crew_3_id,integer,YES,
install_schedulings,scheduled_install_date,timestamp without time zone,YES,
install_schedulings,scheduled_end_date,timestamp without time zone,YES,
install_schedulings,actual_install_date,timestamp without time zone,YES,
install_schedulings,total_sqft,character varying,YES,
install_schedulings,is_completed,boolean,NO,
install_schedulings,status_id,integer,NO,
install_schedulings,created_at,timestamp without time zone,NO,
install_schedulings,updated_at,timestamp without time zone,YES,
install_schedulings,updated_by,integer,YES,
install_schedulings,notes,jsonb,YES,
installer_job_timer_events,id,integer,NO,nextval('installer_job_timer_events_id_seq'::regclass)
installer_job_timer_events,session_id,integer,NO,
installer_job_timer_events,job_id,integer,NO,
installer_job_timer_events,fab_id,integer,YES,
installer_job_timer_events,installer_id,integer,NO,
installer_job_timer_events,action,character varying,NO,
installer_job_timer_events,event_at,timestamp without time zone,NO,
installer_job_timer_events,note,character varying,YES,
installer_job_timer_sessions,id,integer,NO,nextval('installer_job_timer_sessions_id_seq'::regclass)
installer_job_timer_sessions,job_id,integer,NO,
installer_job_timer_sessions,fab_id,integer,YES,
installer_job_timer_sessions,installer_id,integer,NO,
installer_job_timer_sessions,installer_role,character varying,NO,
installer_job_timer_sessions,status,character varying,NO,
installer_job_timer_sessions,session_start_at,timestamp without time zone,NO,
installer_job_timer_sessions,current_run_start_at,timestamp without time zone,YES,
installer_job_timer_sessions,current_pause_start_at,timestamp without time zone,YES,
installer_job_timer_sessions,stopped_at,timestamp without time zone,YES,
installer_job_timer_sessions,total_work_seconds,integer,NO,
installer_job_timer_sessions,total_pause_seconds,integer,NO,
installer_job_timer_sessions,sqft_installed,double precision,YES,
installer_job_timer_sessions,sqft_not_installed,double precision,YES,
installer_job_timer_sessions,created_at,timestamp without time zone,NO,
installer_job_timer_sessions,created_by,integer,NO,
installer_job_timer_sessions,updated_at,timestamp without time zone,YES,
installer_job_timer_sessions,updated_by,integer,YES,
job_notes,id,integer,NO,nextval('job_notes_id_seq'::regclass)
job_notes,job_id,integer,NO,
job_notes,note,character varying,NO,
job_notes,created_by,integer,NO,
job_notes,created_at,timestamp without time zone,YES,
job_technician_workflows,id,integer,NO,nextval('job_technician_workflows_id_seq'::regclass)
job_technician_workflows,fab_id,integer,NO,
job_technician_workflows,technician_id,integer,NO,
job_technician_workflows,table_name,character varying,NO,
job_technician_workflows,notes,jsonb,YES,
job_technician_workflows,pause_reason,character varying,YES,
job_technician_workflows,total_sqft_done,character varying,NO,
job_technician_workflows,started_at,timestamp without time zone,NO,
job_technician_workflows,completed_at,timestamp without time zone,NO,
job_technician_workflows,table_id,integer,NO,
job_technician_workflows,created_at,timestamp without time zone,NO,
job_technician_workflows,created_by,integer,NO,
operation_workflow,id,integer,NO,nextval('operation_workflow_id_seq'::regclass)
operation_workflow,shop_planning_sections,integer,NO,
operation_workflow,started_at,timestamp without time zone,NO,
operation_workflow,finished_at,timestamp without time zone,NO,
operation_workflow,total_sqft_done,character varying,NO,
operation_workflow,reason_for_pause,character varying,NO,
operation_workflow,notes,jsonb,YES,
operation_workflow,created_at,timestamp without time zone,NO,
operation_workflow,updated_at,timestamp without time zone,YES,
operation_workflow,updated_by,integer,YES,
operator_job_timer_events,id,integer,NO,nextval('operator_job_timer_events_id_seq'::regclass)
operator_job_timer_events,session_id,integer,NO,
operator_job_timer_events,job_id,integer,NO,
operator_job_timer_events,fab_id,integer,YES,
operator_job_timer_events,operator_id,integer,NO,
operator_job_timer_events,workstation_id,integer,YES,
operator_job_timer_events,action,character varying,NO,
operator_job_timer_events,event_at,timestamp without time zone,NO,
operator_job_timer_events,note,character varying,YES,
operator_job_timer_sessions,id,integer,NO,nextval('operator_job_timer_sessions_id_seq'::regclass)
operator_job_timer_sessions,job_id,integer,NO,
operator_job_timer_sessions,fab_id,integer,YES,
operator_job_timer_sessions,operator_id,integer,NO,
operator_job_timer_sessions,workstation_id,integer,YES,
operator_job_timer_sessions,status,character varying,NO,
operator_job_timer_sessions,session_start_at,timestamp without time zone,NO,
operator_job_timer_sessions,current_run_start_at,timestamp without time zone,YES,
operator_job_timer_sessions,current_pause_start_at,timestamp without time zone,YES,
operator_job_timer_sessions,stopped_at,timestamp without time zone,YES,
operator_job_timer_sessions,total_work_seconds,integer,NO,
operator_job_timer_sessions,total_pause_seconds,integer,NO,
operator_job_timer_sessions,created_at,timestamp without time zone,NO,
operator_job_timer_sessions,created_by,integer,NO,
operator_job_timer_sessions,updated_at,timestamp without time zone,YES,
operator_job_timer_sessions,updated_by,integer,YES,
password_reset_otps,id,integer,NO,nextval('password_reset_otps_id_seq'::regclass)
password_reset_otps,user_id,integer,NO,
password_reset_otps,otp,character varying,NO,
password_reset_otps,expires_at,timestamp without time zone,NO,
password_reset_otps,attempts,integer,NO,
password_reset_otps,created_at,timestamp without time zone,NO,
permissions,id,integer,NO,nextval('permissions_id_seq'::regclass)
permissions,name,character varying,NO,
permissions,description,character varying,YES,
permissions,can_create,boolean,NO,
permissions,can_update,boolean,NO,
permissions,can_delete,boolean,NO,
permissions,can_read,boolean,NO,
permissions,created_at,timestamp without time zone,NO,
permissions,updated_at,timestamp without time zone,NO,
planning_sections,id,integer,NO,nextval('planning_sections_id_seq'::regclass)
planning_sections,plan_name,character varying,NO,
planning_sections,plan_description,character varying,YES,
planning_sections,is_active,boolean,NO,
planning_sections,status_id,integer,NO,
planning_sections,created_at,timestamp without time zone,NO,
planning_sections,created_by,integer,NO,
planning_sections,updated_at,timestamp without time zone,YES,
planning_sections,updated_by,integer,YES,
pre_draft_reviews,id,integer,NO,nextval('pre_draft_reviews_id_seq'::regclass)
pre_draft_reviews,fab_id,integer,NO,
pre_draft_reviews,draft_notes,character varying,NO,
pre_draft_reviews,is_redrafting_needed,integer,NO,
pre_draft_reviews,is_completed,boolean,NO,
pre_draft_reviews,created_at,timestamp without time zone,NO,
pre_draft_reviews,updated_by,integer,NO,
pre_draft_reviews,updated_at,timestamp without time zone,NO,
pre_draft_reviews,status_id,integer,YES,
resurface_schedulings,id,integer,NO,nextval('resurface_schedulings_id_seq'::regclass)
resurface_schedulings,fab_id,integer,NO,
resurface_schedulings,technician_id,integer,YES,
resurface_schedulings,scheduled_start_date,timestamp without time zone,YES,
resurface_schedulings,scheduled_end_date,timestamp without time zone,YES,
resurface_schedulings,actual_start_date,timestamp without time zone,YES,
resurface_schedulings,actual_end_date,timestamp without time zone,YES,
resurface_schedulings,total_sqft,character varying,YES,
resurface_schedulings,completed_sqft,character varying,YES,
resurface_schedulings,is_completed,boolean,NO,
resurface_schedulings,status_id,integer,NO,
resurface_schedulings,created_at,timestamp without time zone,NO,
resurface_schedulings,updated_at,timestamp without time zone,YES,
resurface_schedulings,updated_by,integer,YES,
resurface_schedulings,notes,jsonb,YES,
revisions,id,integer,NO,nextval('revisions_id_seq'::regclass)
revisions,fab_id,integer,NO,
revisions,revision_type,character varying,NO,
revisions,requested_by,integer,NO,
revisions,assigned_to,integer,YES,
revisions,scheduled_start_date,timestamp without time zone,YES,
revisions,scheduled_end_date,timestamp without time zone,YES,
revisions,actual_start_date,timestamp without time zone,YES,
revisions,actual_end_date,timestamp without time zone,YES,
revisions,revision_reason,character varying,YES,
revisions,revision_notes,character varying,YES,
revisions,department,character varying,YES,
revisions,person_name,character varying,YES,
revisions,is_completed,boolean,NO,
revisions,status_id,integer,NO,
revisions,created_at,timestamp without time zone,NO,
revisions,updated_at,timestamp without time zone,YES,
revisions,updated_by,integer,YES,
revisions,file_ids,character varying,YES,
role_permissions,id,integer,NO,nextval('role_permissions_id_seq'::regclass)
role_permissions,permission_id,integer,NO,
role_permissions,role_id,integer,NO,
role_permissions,action_menu_id,integer,YES,
role_permissions,created_at,timestamp without time zone,NO,
role_permissions,updated_at,timestamp without time zone,NO,
roles,id,integer,NO,nextval('roles_id_seq'::regclass)
roles,name,character varying,NO,
roles,description,character varying,YES,
roles,status,integer,NO,
roles,created_at,timestamp without time zone,NO,
roles,updated_at,timestamp without time zone,NO,
sales_cts,id,integer,NO,nextval('sales_cts_id_seq'::regclass)
sales_cts,fab_id,integer,NO,
sales_cts,revision_type,character varying,YES,
sales_cts,is_revision_needed,boolean,NO,
sales_cts,is_revision_completed,boolean,YES,
sales_cts,is_completed,boolean,NO,
sales_cts,status_id,integer,NO,
sales_cts,created_at,timestamp without time zone,NO,
sales_cts,updated_at,timestamp without time zone,YES,
sales_cts,updated_by,integer,YES,
sales_cts,no_of_revisions,character varying,YES,
sales_cts,current_revision_count,character varying,YES,
sales_cts,revision_reason,character varying,YES,
sales_cts,slab_smith_type,character varying,NO,
sales_cts,drafter_id,integer,NO,
sales_cts,start_date,timestamp without time zone,NO,
sales_cts,end_date,timestamp without time zone,NO,
sales_cts,total_sqft_completed,character varying,YES,
sales_cts,file_ids,character varying,YES,
service_level_settings,id,integer,NO,nextval('service_level_settings_id_seq'::regclass)
service_level_settings,fab_type,character varying,NO,
service_level_settings,stage_name,character varying,NO,
service_level_settings,target_days,double precision,NO,
service_level_settings,at_risk_days,double precision,NO,
service_level_settings,is_applicable,boolean,NO,
service_level_settings,created_at,timestamp without time zone,NO,
service_level_settings,updated_at,timestamp without time zone,YES,
service_level_settings,updated_by,integer,YES,
shop_cut_plan_timer_events,id,integer,NO,nextval('shop_cut_plan_timer_events_id_seq'::regclass)
